ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
155,"[[""www.mountainforce.com"", ""nsubj""], [""to"", ""root""], [""demand"", ""root""], [""sth"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""FBI"", ""obj""], [""-"", ""obj""], [""Agent"", ""obj""], [""in"", ""obj""], [""him"", ""obj""], [""one"", ""nsubj""], [""feminist"", ""nsubj""], [""alternativ"", ""nsubj""], [""to"", ""nsubj""], [""the"", ""nsubj""], [""German"", ""nsubj""], [""masculine"", ""nsubj""], [""form"", ""nsubj""], [""man"", ""nsubj""], [""the"", ""nsubj""], [""data"", ""obl""], [""to"", ""obj""], [""spread"", ""obj""], [""to"", ""obj""], [""sth"", ""obj""], [""path"", ""obl""], [""lift"", ""obl""]]
","Mr.
","Flake called for an FBI investigation of the charges after two women, according to their own statements, confronted him on the way to committee meeting in an elevator.
","Flake called for an FBI investigation into the allegations after two women who say they experienced sexual assault confronted him in an elevator on his way to the committee meeting.
","Flake called for an FBI investigation after two women who reportedly experienced sexual assault themselves confronted him on the way to a committee meeting in an elevator.
",0.17677669529663687,0.17677669529663687,0.0
156,"[[""your"", ""nsubj""], [""lift"", ""obl""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.mountainforce.com"", ""nsubj""], [""concerto"", ""obl""], [""dicht"", ""obl""]]
","""You can also meet me in an elevator at any time,"" Flake said to the crowd at the New York concert.
","""You can also meet me at any time in an elevator,"" Flake said at the New York concert.
","""You're welcome to join me in an elevator anytime,"" Flake told the crowd at the concert in New York.
","You are welcome to join me in an elevator anytime, Flake said to the crowd at the New York concert.
",0.9660917830792959,0.7161148740394329,-0.24997690903986303
157,"[[""to"", ""root""], [""defend"", ""root""], [""sth"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""ein"", ""obj""], [""Quasi"", ""obj""], [""-"", ""obj""], [""Rauswurf"", ""obj""]]
","Freedom of the press: German government defends the dismissal of the journalist
","Freedom of the press: Federal Government defends dismissal of journalist
","Freedom of the press: Federal Government defends expulsion of journalist
","Freedom of Press: Federal government defends exclusion of journalist
",0.75,0.625,-0.125
158,"[[""filmbild"", ""nsubj""], ["".de"", ""nsubj""], [""ein"", ""obj""], [""Quasi"", ""obj""], [""-"", ""obj""], [""Rauswurf"", ""obj""], [""pressen"", ""obl""], [""conference"", ""obl""], [""or"", ""obl""], [""briefing"", ""obl""], [""to"", ""root""], [""defend"", ""root""], [""sth"", ""root""], [""against"", ""root""], [""sb"", ""root""], [""sth"", ""root""]]
","Government spokesman Steffen Seibert defended the dismissal of a journalist from the press conference of Chancellor Angela Merkel (CDU) and Turkish President Recep Tayyip Erdogan.
","Government spokesman Steffen Seibert defended the dismissal of a journalist from the press conference of Chancellor Angela Merkel (CDU) and Turkish President Recep Tayyip Erdoğan
","Government spokesman Steffen Seibert has defended the expulsion of a journalist from the press conference of Chancellor Angela Merkel (CDU) and Turkish President Recep Tayyip Erdoğan.
","Government spokesperson Steffen Seibert has defended the expulsion of a journalist from the press conference of Chancellor Angela Merkel (CDU) and Turkish president Recep Tayyip Erdoğan.
",0.9271050693011066,0.8095238095238095,-0.11758125977729705
159,"[[""chancellor's"", ""obl""], [""office"", ""obl""], [""journalist"", ""nsubj""], [""shirt"", ""obj""], [""windsurf"", ""root""], ["".de"", ""root""], [""row"", ""obl""]]
","In the chancellor's office, the Turkish journalist living in Hamburg had overlaid a T-shirt with the Turkish and German inscription ""Freedom for Journalists"".
","In the chancellor's office, the Turkish journalist living in Hamburg had overlaid a T-shirt with the Turkish and German inscription ""Freedom for Journalists"".
","In the Chancellery, the Turkish journalist living in Hamburg had put on a T-shirt with the Turkish and German inscription ""Freedom for Journalists"" and went to the front row.
","In the chancellery, the Turkish journalist living in Hamburg had put on a T-shirt with the Turkish and German writing “Freedom for journalists” and was sitting in the first row.
",1.0,0.5407380704358752,-0.4592619295641248
160,"[[""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.uni-bielefeld.de"", ""nsubj""]]
","The T-shirt, had not been the problem, said Seibert the picture on Sunday.
","The T-shirt, had not been the problem, said Seibert the picture on Sunday.
","The T-shirt was not the problem, Seibert told Bild am Sonntag.
","The T-shirt was not the problem, Seibert said to the Bild on Sunday.
",1.0,0.8888888888888888,-0.11111111111111116
161,"[[""flat"", ""nsubj""], [""to"", ""root""], [""walk"", ""root""], [""somewhere"", ""root""], [""interruption"", ""obl""]]
","It was about interrupting the press conference.
","It was about interrupting the press conference.
","It was about disrupting the flow of the press conference.
","It was about a disruption in the course of the press conference.
",1.0,0.7302967433402214,-0.26970325665977857
162,"[[""act"", ""obl""], [""restle\u00dfness"", ""nsubj""], [""no"", ""nsubj""], [""costs"", ""root""], [""incurred"", ""root""], [""what"", ""nsubj""]]
","The journalist's action had caused a serious disturbance, which was unacceptable.
","The journalist's action had caused a serious disturbance, which was unacceptable.
","The journalist's action had caused a great deal of unrest, which was unacceptable.
","The journalist’s action created a lot of unrest, which was unacceptable.
",1.0,0.6,-0.4
163,"[[""he"", ""nsubj""], [""to"", ""root""], [""arrange"", ""root""], [""sth"", ""root""], [""or"", ""root""], [""see"", ""root""], [""to"", ""root""], [""it"", ""root""], [""that"", ""root""], [""sth"", ""root""], [""is"", ""root""], [""done"", ""root""], [""bodyguard"", ""nsubj""], [""man"", ""obj""]]
","He had arranged for personal protectors to take the man out.
","He had caused personal protectors to take the man out.
","He had arranged for bodyguards to escort the man out.
","Thus, he ordered bodyguards to escort the man out.
",0.8571428571428571,0.2857142857142857,-0.5714285714285714
164,"[[""www.uni-bielefeld.de"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""it"", ""nsubj""], [""pressen"", ""obl""], [""conference"", ""obl""], [""or"", ""obl""], [""briefing"", ""obl""], [""requesen"", ""obj""]]
","Seibert said that it is not allowed to demonstrate political concerns during press conferences in the Federal Chancellery.
","Seibert said that it was not allowed to demonstrate political concerns at press conferences in the Federal Chancellery.
","Seibert said that it is not permitted to demonstrate political concerns at press conferences in the Federal Chancellery.
","Seibert said that it was not permitted to demonstrate political concerns at press conferences in the federal chancellery.
",1.0,0.7272727272727273,-0.2727272727272727
165,"[[""the"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""valid"", ""root""], [""for"", ""root""], [""sb"", ""root""], [""it"", ""nsubj""], [""oneself"", ""obj""], [""requesen"", ""obl""]]
","This is completely independent of whether or not it is a legitimate concern.
","This applies completely regardless of whether or not it is a legitimate concern.
","This applies irrespective of whether or not it is a legitimate concern.
","no matter if it is a legitimate concern or not.
",0.8017837257372732,0.5669467095138409,-0.23483701622343234
166,"[[""to"", ""nsubj""], [""settle"", ""nsubj""], [""or"", ""nsubj""], [""see"", ""nsubj""], [""to"", ""nsubj""], [""sth"", ""nsubj""], [""to"", ""root""], [""settle"", ""root""], [""or"", ""root""], [""see"", ""root""], [""to"", ""root""], [""sth"", ""root""]]
","The rules are the rules.
","The rules are the rules.
","The rules are the rules.
","The rules are the rules.
",1.0,1.0,0.0
167,"[[""T\u00fcrkiye"", ""obl""], [""to"", ""root""], [""sit"", ""root""], [""journalist"", ""nsubj""], [""prison"", ""obl""]]
","In Turkey, many journalists are in prison.
","Many journalists are in prison in Turkey.
","There are many journalists in prison in Turkey.
","In Turkey, many journalists are imprisoned.
",0.6761234037828132,0.8571428571428571,0.18101945336004388
168,"[[""to"", ""root""], [""reproach"", ""root""], [""sb"", ""root""], [""for"", ""root""], [""sth"", ""root""]]
","Many of them are accused of alleged espionage activities or support or membership in prohibited parties or the Fethullah Gulf Movement.
","Many of them are accused of alleged espionage activities or support or membership in prohibited parties or the Fethullah Gulf Movement.
","Many of them are accused of alleged espionage or support or membership in banned parties or the Fethullah Gülen movement.
","Many of them are accused of alleged espionage or supporting or being members of prohibited parties or the Fethullah Gülen movement.
",1.0,0.6405126152203485,-0.3594873847796515
169,"[[""leadership"", ""nsubj""], [""power"", ""root""], [""gestur"", ""obj""], [""attempted"", ""obl""], [""coup"", ""obl""], [""d'"", ""obl""], [""\u00e9tat"", ""obl""], [""15"", ""obl""]]
","The Turkish leadership blames the movement for the failed coup attempt of 15 July 2016.
","The Turkish leadership blames the movement for the failed coup attempt on 15 July 2016.
","The Turkish leadership blames the movement for the failed coup attempt on July 15, 2016.
","The Turkish government holds the movement responsible for the failed attempted coup on July 15, 2016.
",1.0,0.6943650748294136,-0.30563492517058644
170,"[[""to"", ""root""], [""threaten"", ""root""], [""sb"", ""root""], [""with"", ""root""], [""sth"", ""root""], [""imprisonment"", ""obj""], [""no"", ""obj""]]
","Some of the accused journalists are threatened with imprisonment for several decades.
","Some of the accused journalists face several decades of imprisonment.
","Some of the accused journalists face several decades in prison.
","Some of the accused journalists are facing several decades in jail.
",0.875,0.75,-0.125
171,"[[""journalist"", ""nsubj""], [""certain"", ""root""], [""September"", ""obl""]]
","Foreign journalists are also not certain of the Turkish authorities: the Austrian journalist Max Zirngast was arrested in early September.
","Foreign journalists are also not certain of the Turkish authorities: the Austrian journalist Max Zirngast was arrested in early September.
","Even foreign journalists are not safe from the Turkish authorities: Austrian journalist Max Zirngast was arrested only at the beginning of September.
","Even foreign journalists are not safe from Turkish authorities: At the beginning of September, the Austrian journalist Max Zirngast was arrested.
",1.0,0.6888467201936644,-0.31115327980633556
172,"[[""trap"", ""nsubj""], [""sensation"", ""obl""], [""to"", ""root""], [""provide"", ""root""], [""for"", ""root""], [""sb"", ""root""]]
","Most recently, the cases of the detained journalists Meşale Tolu and Deniz Yücel caused a sensation.
","Most recently, the cases of detained journalists Meşale Tolu and Deniz Yücel caused attention.
","Most recently, the cases of imprisoned journalists Meşale Tolu and Deniz Yücel caused a stir.
","Most recently, the cases of the incarcerated journalists Meşale Tolu and Deniz Yücel caused a stir.
",0.9230769230769231,0.8461538461538461,-0.07692307692307698
173,"[[""you"", ""nsubj""], [""to"", ""root""], [""come"", ""root""], [""Germany"", ""obl""], [""T\u00fcrkiye"", ""obl""], [""legal"", ""nsubj""], [""proceedings"", ""nsubj""], [""both"", ""obl""]]
","Although they came free and could return to Germany, there are still trials in Turkey against them.
","They were released and could return to Germany, but there are still trials in Turkey against them.
","They were released and were able to return to Germany, but trials against them are still ongoing in Turkey.
","They were released and were able to return to Germany, but the legal processes in Turkey against the two are still ongoing.
",0.7627700713964739,0.5017452060042544,-0.2610248653922195
174,"[[""Munich"", ""nsubj""], [""drunken"", ""root""]]
","Munich: Florian David Fitz completely drunk with Ina Müller
","Munich: Florian David Fitz completely drunk with Ina Müller
","Munich: Florian David Fitz completely drunk with Ina Müller
","Munich: Florian David Fitz completely drunk with Ina Müller
",1.0,1.0,0.0
175,"[[""to"", ""root""], [""know"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""him"", ""obj""], [""fan"", ""nsubj""]]
","His fans usually know him as fresh and handsome: Florian David Fitz.
","His fans usually know him as fresh and handsome: Florian David Fitz.
","His fans usually know him as fresh and handsome: Florian David Fitz.
","His fans normally know him to be so fresh and good looking: Florian David Fitz.
",1.0,0.7833494518006403,-0.2166505481993597
176,"[[""they"", ""nsubj""], [""to"", ""root""], [""look"", ""root""], [""the"", ""nsubj""]]
","One has to look twice: Yes, this is really Florian David Fitz.
","You have to look twice: Yes, this is really Florian David Fitz.
","You have to look twice: Yes, that really is Florian David Fitz.
","You have to look twice, though: Yes, that's really Florian David Fitz.
",0.9090909090909091,0.8362420100070908,-0.07284889908381831
177,"[[""actor"", ""nsubj""], [""masc"", ""nsubj""], [""Hamburg"", ""root""], [""night"", ""obj""]]
","The popular actor was in Hamburg - and experienced a wild night!
","The popular actor was in Hamburg - and experienced a wild night!
","The popular actor was in Hamburg - and had a wild night!
","The popular actor was in Hamburg - and he had a wild night!
",1.0,0.9428090415820635,-0.05719095841793653
178,"[[""Hamburg"", ""nsubj""], [""talken"", ""nsubj""], [""show"", ""nsubj""], [""well"", ""root""], [""-known"", ""root""]]
","Hamburg - The talk show ""Inas Nacht"" produced by the NDR is known for happy conversations at the counter of the Hamburg harbour bar ""Schellfishposten"".
","Hamburg - The talk show ""Inas Nacht"" produced by the NDR is known for happy conversations at the counter of the Hamburg harbour bar ""Schellfishposten"".
","Hamburg - The NDR-produced talk show ""Inas Nacht"" is known for cheerful conversations at the bar of the Hamburg harbour pub ""Schellfischposten.""
","Hamburg - The talk show “Inas Nacht” [Ina's Night] produced by NDR is known for its cheery conversations at the bar of the Hamburg port pub “Schellfischposten.”
",1.0,0.6087807775281011,-0.3912192224718989
179,"[[""www.uni-hamburg.de"", ""nsubj""], [""to"", ""root""], [""push"", ""root""], [""sb"", ""root""], [""guest"", ""obl""], [""beer"", ""obl""], [""mood"", ""obj""]]
","Moderator Ina Müller meets with her guests some beer, some wine or even higher-percent drinks to loosen the mood and tongues.
","Moderator Ina Müller meets with her guests some beer, some wine or even higher percentage drinks to loosen the mood and tongues.
","Presenter Ina Müller toasts with her guests to some beer, some wine or even high percentage drinks to lighten the mood and tongues.
","Moderator Ina Müller often cheers her guests with a beer, some wine or even stronger beverages to loosen up the mood and their tongues.
",0.9036961141150639,0.7745966692414834,-0.1290994448735805
180,"[[""VIP"", ""nsubj""], [""to"", ""root""], [""drink"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""musical"", ""obl""], [""insern"", ""obl""], [""courage"", ""obj""], [""no"", ""obj""], [""no"", ""obj""]]
","Not a few celebrities also take courage for the obligatory singing.
","Not a few celebrities also take courage for compulsory singing.
","Quite a few celebs also drink themselves into the guts for the obligatory singing interludes.
","Quite a few celebs also need the liquid courage for the obligatory vocal number.
",0.875,0.4472135954999579,-0.4277864045000421
181,"[[""Friday"", ""obl""], [""to"", ""root""], [""record"", ""root""], [""sth"", ""root""], [""on"", ""root""], [""sth"", ""root""]]
","On Friday another episode of the popular talk show was recorded.
","On Friday another episode of the popular talk show was recorded.
","On Friday, another episode of the popular talk show was taped.
","Another episode of the popular talk show was recorded on Friday.
",1.0,0.8249579113843055,-0.17504208861569448
182,"[[""actor"", ""nsubj""], [""masc"", ""nsubj""], [""well"", ""root""], [""-known"", ""root""]]
","This time the actor Florian David Fitz is known from movies like ""Men's Hearts"", ""Terror - Your Judgment"" or ""The Hottest Day"".
","This time the actor Florian David Fitz is known from movies like ""Men's Hearts"", ""Terror - Your Judgment"" or ""The Hottest Day"".
","This time around: The actor Florian David Fitz is known from films such as ""Men's Hearts,"" ""Terror - Your Judgment"" and ""The Horniest Day.""
","This time: The actor Florian David Fitz known from films like ""Männerherzen"", ""Terror - Ihr Urteil"" or ""Der geilste Tag"".
",1.0,0.6521739130434783,-0.34782608695652173
183,"[[""to"", ""root""], [""get"", ""root""], [""sth"", ""root""], [""from"", ""root""], [""sb"", ""root""], [""outing"", ""nsubj""], [""north"", ""obl""]]
","The Municher got the trip to the far north but not well.
","But the trip to the far north didn't get well.
","But the trip to the far north didn't go down well with the Munich native.
","The trip didn’t do the actor any good, though.
",0.625,0.375,-0.25
184,"[[""Saturday"", ""obl""], [""post"", ""root""], [""he"", ""nsubj""], [""selfie"", ""obj""], [""to"", ""nsubj""], [""look"", ""nsubj""]]
","On Saturday he posted a selfie - his face is completely crushed on it, his eyes only two small slits.
","On Saturday he posted a selfie - his face is completely crushed on it, his eyes only two small slits.
","On Saturday, he posted a selfie - his face completely crumpled, his eyes just two small slits.
","On Saturday, he posted a selfie - his face completely crumpled, only two small slits for eyes.
",1.0,0.9285714285714286,-0.0714285714285714
185,"[[""selfie"", ""nsubj""], [""to"", ""root""], [""show"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""florian"", ""obj""], [""-"", ""obj""], [""hostel.budapesthotelreview.com"", ""obj""]]
","The bed selfie shows a completely exhausted Florian David Fitz.
","The bed selfie shows a completely exhausted Florian David Fitz.
","The bed selfie shows a completely exhausted Florian David Fitz.
","The bed selfie showed a completely drained Florian David Fitz.
",1.0,0.8,-0.19999999999999996
186,"[[""he"", ""nsubj""], [""ill"", ""root""], [""he"", ""nsubj""], [""tomcat"", ""obj""]]
","But he isn't ill, he only has a powerful hangover.
","But he's not sick.
","But he's not sick, he just has a mighty hangover.
","But he is not ill, he only has quite a hangover.
",0.3779644730092272,0.7715167498104595,0.3935522768012323
187,"[[""fan"", ""obl""], [""post"", ""root""], [""he"", ""nsubj""], [""insight"", ""obj""], [""the"", ""obj""], [""he"", ""nsubj""], [""night"", ""obl""]]
","Addressing his fans, he posted some - probably not very serious - insights that he has now gained: ""Rule one: NEVER goes to Inas Night.
","Addressed to his fans, he posted some - probably not very serious - insights that he has now gained: ""Rule one: NEVER goes to Inas night.
","Addressing his fans, he posted some - probably not entirely serious - insights he has now gained: ""Rule one: NEVER go to Ina's night.
","Addressing his fans, he posted some - probably not entirely serious - insights he learnt: ""Rule one: NEVER go to Inas Night.
",0.8888888888888888,0.8651809126974003,-0.023707976191488567
188,"[[""to"", ""root""], [""drink"", ""root""], [""sth"", ""root""], [""sow"", ""obj""]]
","Rule two: never drink the black sow.
","Rule two: never drink the black sow.
","Rule two: never drink the black pig.
","Rule two: Never drink ""die schwarze Sau"".
",1.0,0.5330017908890261,-0.4669982091109739
189,"[[""to"", ""root""], [""spray"", ""root""]]
","And spray.
","And spray.
","And splash.
","And Spritz.
",1.0,0.6666666666666666,-0.33333333333333337
190,"[[""company"", ""nsubj""], [""the"", ""nsubj""], [""www.uni-hamburg.de"", ""obj""], [""three"", ""obl""], [""to"", ""root""], [""stop"", ""root""], [""sth"", ""root""]]
","And the round of egg liqueurs that Ina throws at 6:30, let go of it, too.
","And leave the round egg liqueur that Ina throws at 6:30.
","And leave out the round of eggnog that Ina throws at half past three.
","And also pass on Ina’s round of eggnog at half past two.""
",0.7035264706814485,0.3481553119113957,-0.35537115877005276
191,"[[""consumption"", ""nsubj""], [""of"", ""nsubj""], [""alcohol"", ""nsubj""], [""to"", ""root""], [""stehen"", ""root""], [""face"", ""obl""]]
","The 43-year-old truly faces alcohol consumption.
","Alcohol consumption is truly written on the face of the 43-year-old.
","The 43-year-old's drinking is certainly written all over his face.
","The long night is really showing on the 43-year-olds’ face.
",0.5714285714285714,0.2519763153394848,-0.3194522560890866
192,"[[""fan"", ""nsubj""], [""post"", ""root""], [""tip"", ""obj""]]
","His fans posted a few tips to fight afterlife.
","His fans posted a few tips to fight afterlife.
","His fans immediately posted a few tips to combat the aftermath.
","His fans posted a couple of tips for getting rid of a hangover.
",1.0,0.629940788348712,-0.37005921165128797
193,"[[""you"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""enough"", ""root""], [""or"", ""root""], [""sufficient"", ""root""], [""Instantbr\u00fche"", ""obl""]]
","They ranged from instant broth, fish rolls or - probably the most targeted - headache tablets.
","They ranged from instant broth, fish rolls or - probably the most targeted - headache tablets.
","They ranged from instant broth, fish sandwiches, or - probably the most effective - headache tablets.
","They ranged from instant broth, fish sandwiches or - probably the most effective - painkillers.
",1.0,0.7205766921228921,-0.2794233078771079
194,"[[""different"", ""nsubj""], [""enjoy"", ""root""], [""oneself"", ""root""], [""oneself"", ""obj""], [""sight"", ""obl""]]
","Others simply enjoyed the sight of the normally attractive cinema star.
","Others simply enjoyed the sight of the normally attractive cinema star.
","Others simply amused themselves at the sight of the normally attractive movie star.
","Others simply enjoyed the sight of the normally attractive movie star.
",1.0,0.8888888888888888,-0.11111111111111116
195,"[[""www.uni-hamburg.de"", ""nsubj""], [""booze-up"", ""obj""], [""well"", ""root""], [""-known"", ""root""]]
","It is not known how Ina Müller survived the nightly drinking.
","It is not known how Ina Müller survived the nightly drinking.
","How Ina Müller survived the nightly binge is not yet known.
","We still don't know how Ina Müller survived the binge drinking at night.
",1.0,0.5330017908890261,-0.4669982091109739
196,"[[""she"", ""nsubj""], [""fun"", ""obj""], [""no"", ""obj""], [""2007"", ""obl""], [""seemingly"", ""root""], [""one-year-old"", ""nsubj""]]
","Since she moderates the TV fun at the counter since 2007, the 53-year-old seems to be much more proven...
","Since she moderates the TV fun at the counter since 2007, the 53-year-old seems to be much more proven...
","But since she has presented the TV fun at the bar since 2007, the 53-year-old seems to be much more experienced...
","Since she has hosted the wild TV fun at the bar since 2007, the 53-year-old seems to be much better prepared...
",1.0,0.7161148740394329,-0.28388512596056714
197,"[[""beer"", ""root""]]
","To a beer with Ina Müller.
","To a beer with Ina Müller.
","Over a beer with Ina Müller.
","Out for a beer with Ina Müller.
",1.0,0.8,-0.19999999999999996
198,"[[""Ferienwohnung"", ""nsubj""], [""-gaestezimmer"", ""nsubj""], ["".de"", ""nsubj""], [""to"", ""root""], [""have"", ""root""], [""got"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""vandalism"", ""obl""]]
","Treysa has to fight with vandalism and treason
","Treysa struggles with vandalism and treason
","Treysa has to contend with vandalism and filth
","Treysa has struggled against vandalism and garbage
",0.75,0.5,-0.25
199,"[[""getting"", ""nsubj""], [""in"", ""nsubj""], [""to"", ""root""], [""present"", ""root""], [""sb"", ""root""], [""with"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""]]
","The entry into the 36-kilometre long railway cycle path in Red Riding Hoodland in Treysa is difficult to find and waste.
","The entry into the 36-kilometre long railway cycle path in Red Riding Hoodland in Treysa is difficult to find and waste.
","The entrance to the 36-kilometre-long railway cycle path in Rotkäppchenland in Treysa is difficult to find and is littered.
","Accessing the 36-kilometer cycle track in Rotkäppchenland in Treysa is very difficult and heavily littered.
",1.0,0.32659863237109044,-0.6734013676289096
200,"[[""in"", ""root""], [""demand"", ""root""], [""slogan"", ""nsubj""], [""oneself"", ""obj""]]
","Recipes against rampant vandalism are sought, but solutions hardly emerge.
","Recipes against rampant vandalism are sought, but solutions hardly emerge.
","Recipes against rampant vandalism are being sought, but solutions are scarce.
","Attempts are made to remedy the rampant vandalism, but there are hardly any signs of solutions.
",1.0,0.6324555320336759,-0.3675444679663241
201,"[[""sharp"", ""nsubj""], [""piece"", ""nsubj""], [""or"", ""nsubj""], [""fragment"", ""nsubj""], [""to"", ""root""], [""present"", ""root""], [""sb"", ""root""], [""with"", ""root""], [""sth"", ""root""], [""oneself"", ""obj""], [""long"", ""obl""], [""getting"", ""nsubj""], [""in"", ""nsubj""]]
","Shards, cigarette dumps, garbage and debris, demolished trash cans and now dismantled signposts - this is how the entrance with seating group to the bike path on the Haaße hill in Treysa has long been presented.
","Shards, cigarette dumps, garbage and debris, demolished trash cans and now dismantled signposts - this is how the entrance with seating group to the bike path on the Haaße hill in Treysa has been presented.
","Shards, cigarette butts, garbage and garbage, demolished garbage bins and meanwhile dismantled signs - this is how the entrance with seating group to the bike path on the Haaße hill in Treysa presents itself for a long time.
","Shards, cigarette butts, garbage and rubbish, demolished rubbish bins and now dismantled signs - so for quite some time presents itself the entrance with seating area to the bike path on the Haaße-hill in Treysa.
",0.9780192938436515,0.5779204918167031,-0.40009880202694836
202,"[[""showpiece"", ""root""]]
","For the flagship railway bike trail in Red Riding Hoodland a more than infamous sight.
","For the flagship railway bike trail in Red Riding Hoodland a more than infamous sight.
","A more than inglorious sight for the showpiece railway cycle path in Rotkäppchenland.
","The sight of the bicycle path, which is the flagship object in Rotkäpchenland, is more than inglorious.
",1.0,0.28603877677367767,-0.7139612232263224
203,"[[""subjecen"", ""nsubj""], [""busy"", ""root""], [""member"", ""obj""], [""Radverkehrsbeauftragte"", ""nsubj""]]
","The topic has been occupied by members of the ADFC local group Schwalmstadt but also others for a long time, according to Ulrich Wüstenhagen's bicycle traffic officer.
","The topic has been occupied by members of the ADFC local group Schwalmstadt but also others for a long time, according to the cycling officer of the city Ulrich Wüstenhagen.
","The topic has been occupying members of the ADFC local group Schwalmstadt but also others for some time, according to Ulrich Wüstenhagen, the city's cycling commissioner.
","The matter is of concern to the ADFC (German Cyclists Association) chapter Schwalmstadt, but others have also taken interest for some time, according to the city's cycling commissioner Ulrich Wüstenhagen.
",0.8783100656536799,0.5237229365663818,-0.35458712908729806
204,"[[""Radverkehrsbeirat"", ""obl""], [""involved"", ""root""]]
","The problem had already been raised in the Cycling Advisory Council.
","The problem had already been raised in the Cycling Advisory Council.
","The issue had already been raised in the Cycling Advisory Board.
","The problem has already been addressed by the bicycle traffic advisory body.
",1.0,0.47140452079103173,-0.5285954792089682
205,"[[""solution"", ""obj""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""it"", ""nsubj""]]
","There is no solution yet.
","There is no solution yet.
","There is no solution so far.
","There is no solution so far.
",1.0,0.75,-0.25
206,"[[""proposal"", ""nsubj""], [""to"", ""root""], [""be"", ""root""], [""enough"", ""root""], [""or"", ""root""], [""sufficient"", ""root""], [""rescheduling"", ""obl""], [""no"", ""obl""], [""no"", ""obl""], [""emptying"", ""obl""]]
","The proposals ranged from the relocation of the seating group to regular emptying of waste containers and cleaning of surfaces at the entry point.
","The proposals ranged from the relocation of the seating group to regular emptying of waste containers and cleaning of surfaces at the entry point.
","The proposals ranged from the relocation of the seating group to the regular emptying of the waste bins and cleaning of the areas at the entry point.
","Suggestions ranged from transferring the seating area to the regular emptying of garbage cans, and cleaning the point of entry areas.
",1.0,0.5333333333333333,-0.4666666666666667
207,"[[""self"", ""nsubj""], [""latt"", ""nsubj""], [""to"", ""root""], [""say"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""www.artflakes.com"", ""nsubj""]]
","""I think the latter would be the imperative of the hour - regardless of possible further activities,"" says Wüstenhagen.
","""I think the latter would be the imperative of the hour - regardless of possible further activities,"" says Wüstenhagen.
","""I think the latter would be the order of the day - regardless of possible further activities,"" says Wüstenhagen.
","I think, the latter would be the order of the day, irrespective of any further activities, says Wüstenhagen.
",1.0,0.649519052838329,-0.350480947161671
208,"[[""www.teneues.com"", ""nsubj""], [""to"", ""root""], [""tell"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""subjecen"", ""obj""], [""local"", ""obl""], [""advisory"", ""obl""], [""committee"", ""obl""]]
","Guido Hahn (ADFC) reported that the topic was also included in the local council.
","Guido Hahn (ADFC) reports that the topic was also included in the local council.
","Guido Hahn (ADFC) reports that he has also introduced the topic to the local advisory board.
","Guido Hahn (ADFC) says he also brought the issue up with the local advisory council.
",0.9166666666666666,0.7205766921228921,-0.19608997454377453
209,"[[""refus"", ""nsubj""], [""to"", ""root""], [""drive"", ""root""], [""sb"", ""root""], [""animals"", ""root""], [""somewhere"", ""root""], [""cyclist"", ""obj""], [""www.relax.ischgl.at"", ""nsubj""]]
","Not only the garbage drives cyclists and residents around - the seating group is a regular meeting place to celebrate on weekends.
","Not only the garbage drives cyclists and residents around - the seating group is a regular meeting point on weekends.
","It's not just garbage that drives cyclists and residents wild - the seating area is a regular meeting point for partying at weekends.
","Not only the rubbish is a nuisance for cyclists and residents - on weekends the seating group is a regular meeting place for partying.
",0.8970852271450606,0.7590721152765897,-0.13801311186847087
